TIME,REF_SPEED,SPEED
22.568,2000.0,1992.0
22.62,2000.0,2016.0
22.672,2000.0,2016.0
22.723,2000.0,2016.0
22.775,2000.0,2028.0
22.828,2000.0,2016.0
22.879,2000.0,2016.0
22.931,2000.0,1992.0
22.983,2000.0,1980.0
23.034,2000.0,1992.0
23.087,2000.0,1980.0
23.138,2000.0,2004.0
23.19,2000.0,2004.0
23.242,2000.0,2004.0
23.293,2000.0,2016.0
23.346,2000.0,2016.0
23.398,2000.0,2016.0
23.449,2000.0,2016.0
23.501,2000.0,1980.0
23.553,2000.0,1980.0
23.605,2000.0,1980.0
23.657,2000.0,1992.0
23.708,2000.0,1992.0
23.76,2000.0,2016.0
23.813,2000.0,2004.0
23.864,2000.0,2016.0
23.916,2000.0,2016.0
23.967,2000.0,2004.0
24.019,2000.0,1992.0
24.072,2000.0,1992.0
24.123,2000.0,1980.0
24.175,2000.0,1980.0
24.227,2000.0,2004.0
24.279,2000.0,1992.0
24.331,2000.0,2004.0
24.382,2000.0,2016.0
24.434,2000.0,2016.0
24.486,2000.0,2016.0
24.538,2000.0,2016.0
24.59,2000.0,2004.0
24.642,2000.0,2004.0
24.693,2000.0,1992.0
24.745,2000.0,1992.0
24.797,2000.0,1992.0
24.849,2000.0,1992.0
24.901,2000.0,2004.0
24.952,2000.0,2004.0
25.005,2000.0,2004.0
25.057,2000.0,2004.0
25.108,2000.0,2004.0
25.16,2000.0,2004.0
25.211,2000.0,2004.0
25.264,2000.0,1992.0
25.316,2000.0,1980.0
25.367,2000.0,1992.0
25.419,2000.0,1992.0
25.47,2000.0,1992.0
25.523,2000.0,2016.0
25.575,2000.0,1980.0
25.626,2000.0,1776.0
25.678,2000.0,1440.0
25.731,2000.0,1080.0
25.782,2000.0,648.0
25.834,2000.0,156.0
25.885,2000.0,12.0
25.936,2000.0,0.0
25.989,2000.0,0.0
26.04,2000.0,0.0
26.091,2000.0,0.0
26.142,2000.0,0.0
26.194,2000.0,0.0
26.246,2000.0,0.0
26.297,2000.0,0.0
26.348,2000.0,0.0
26.4,2000.0,0.0
26.451,2000.0,0.0
26.503,2000.0,0.0
26.554,2000.0,0.0
26.606,2000.0,0.0
26.657,2000.0,0.0
26.708,2000.0,0.0
26.761,2000.0,0.0
26.812,2000.0,0.0
26.863,2000.0,0.0
26.914,2000.0,0.0
26.967,2000.0,0.0
27.018,2000.0,0.0
27.069,2000.0,0.0
27.12,2000.0,0.0
27.172,2000.0,0.0
27.224,2000.0,0.0
27.275,2000.0,0.0
27.326,2000.0,0.0
27.378,2000.0,0.0
27.429,2000.0,0.0
27.481,2000.0,0.0
27.532,2000.0,0.0
27.584,2000.0,0.0
27.635,2000.0,0.0
